0,label
datasets/HistoQC_reader_mil_c16/1/TCGA-A1-A0SH-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A1-A0SK-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A1-A0SM-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A1-A0SP-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A04N-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A04X-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0CK-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0CL-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0CM-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0CR-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0CS-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0CT-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0D0-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0D3-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0EM-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0ES-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0EY-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0ST-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0SX-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0SY-01Z-00-DX1.csv,1
datasets/HistoQC_reader_mil_c16/1/TCGA-A2-A0T0-01Z-00-DX1.csv,1
